omega_p, tau_s, d_p, d_s, ratio, F_sp, F_flyarm, F_ss, F_helix, sum_F
248.020473, 156.308381, 0.000000, 0.008492, 3.905374, 300.254959, 681.621503, 134.277919, 2663.729193, 5593.424908
248.020473, 170.518234, 0.000000, 0.008492, 3.905374, 300.254959, 681.621503, 134.277919, 2901.375183, 6190.618486
248.020473, 184.728087, 0.000000, 0.008492, 3.905374, 300.254959, 681.621503, 134.277919, 3139.021174, 6787.812065
248.020473, 198.937940, 0.000000, 0.008492, 3.905374, 300.254959, 681.621503, 134.277919, 3376.667164, 7385.005643
248.020473, 213.147793, 0.000000, 0.008492, 3.905374, 300.254959, 681.621503, 134.277919, 3614.313154, 7982.199221
248.020473, 227.357646, 0.000000, 0.008492, 3.905374, 300.254959, 681.621503, 134.277919, 3851.959145, 8579.392800
248.020473, 241.567499, 0.000000, 0.008492, 3.905374, 300.254959, 681.621503, 134.277919, 4089.605135, 9176.586378
248.020473, 255.777351, 0.000000, 0.008492, 3.905374, 300.254959, 681.621503, 134.277919, 4327.251125, 9773.779957
248.020473, 269.987204, 0.000000, 0.008492, 3.905374, 300.254959, 681.621503, 134.277919, 4564.897116, 10370.973535
254.634352, 0.000000, 0.002285, 0.010097, 2.544873, 324.261279, 468.365921, 139.897565, 55.019685, -0.007432
254.634352, 14.209853, 0.003069, 0.010687, 2.241393, 332.502216, 667.032673, 141.965097, 294.651068, 0.002387
254.634352, 28.419706, 0.005000, 0.012234, 1.679313, 352.793010, 718.459359, 147.383800, 537.500486, 710.759423
254.634352, 42.629559, 0.005000, 0.012234, 1.679313, 352.793010, 718.459359, 147.383800, 775.146476, 1391.271635
254.634352, 56.839411, 0.005000, 0.012234, 1.679313, 352.793010, 718.459359, 147.383800, 1012.792466, 2071.783848
254.634352, 71.049264, 0.005000, 0.012234, 1.679313, 352.793010, 718.459359, 147.383800, 1250.438457, 2752.296060
254.634352, 85.259117, 0.005000, 0.012234, 1.679313, 352.793010, 718.459359, 147.383800, 1488.084447, 3432.808272
254.634352, 99.468970, 0.005000, 0.012234, 1.679313, 352.793010, 718.459359, 147.383800, 1725.730437, 4113.320485
254.634352, 113.678823, 0.005000, 0.012234, 1.679313, 352.793010, 718.459359, 147.383800, 1963.376428, 4793.832697
254.634352, 127.888676, 0.005000, 0.012234, 1.679313, 352.793010, 718.459359, 147.383800, 2201.022418, 5474.344909
254.634352, 142.098529, 0.005000, 0.012234, 1.679313, 352.793010, 718.459359, 147.383800, 2438.668408, 6154.857122
254.634352, 156.308381, 0.000000, 0.008492, 3.905374, 300.254959, 718.459359, 134.277919, 2663.729193, 5454.537693
254.634352, 170.518234, 0.000000, 0.008492, 3.905374, 300.254959, 718.459359, 134.277919, 2901.375183, 6051.731271
254.634352, 184.728087, 0.000000, 0.008492, 3.905374, 300.254959, 718.459359, 134.277919, 3139.021174, 6648.924850
254.634352, 198.937940, 0.000000, 0.008492, 3.905374, 300.254959, 718.459359, 134.277919, 3376.667164, 7246.118428
254.634352, 213.147793, 0.000000, 0.008492, 3.905374, 300.254959, 718.459359, 134.277919, 3614.313154, 7843.312007
254.634352, 227.357646, 0.000000, 0.008492, 3.905374, 300.254959, 718.459359, 134.277919, 3851.959145, 8440.505585
254.634352, 241.567499, 0.000000, 0.008492, 3.905374, 300.254959, 718.459359, 134.277919, 4089.605135, 9037.699164
254.634352, 255.777351, 0.000000, 0.008492, 3.905374, 300.254959, 718.459359, 134.277919, 4327.251125, 9634.892742
254.634352, 269.987204, 0.000000, 0.008492, 3.905374, 300.254959, 718.459359, 134.277919, 4564.897116, 10232.086321
261.248231, 0.000000, 0.002167, 0.010010, 2.595647, 323.022716, 465.916096, 139.593157, 54.727371, 0.001452
261.248231, 14.209853, 0.002915, 0.010570, 2.296687, 330.884250, 662.459379, 141.553322, 294.255652, -0.001184
261.248231, 28.419706, 0.005000, 0.012234, 1.679313, 352.793010, 756.266631, 147.383800, 537.500486, 581.472503
261.248231, 42.629559, 0.005000, 0.012234, 1.679313, 352.793010, 756.266631, 147.383800, 775.146476, 1261.984716
261.248231, 56.839411, 0.005000, 0.012234, 1.679313, 352.793010, 756.266631, 147.383800, 1012.792466, 1942.496928
