omega_p, tau_s, d_p, d_s, ratio, F_sp, F_flyarm, F_ss, F_helix
254.634352, 483.134997, 0.000000, 0.008492, 3.905374, 300.254959, 5095.463811, 134.277919, 8129.586971
254.634352, 497.344850, 0.000000, 0.008492, 3.905374, 300.254959, 5095.463811, 134.277919, 8367.232961
254.634352, 511.554703, 0.000000, 0.008492, 3.905374, 300.254959, 5095.463811, 134.277919, 8604.878952
254.634352, 525.764556, 0.000000, 0.008492, 3.905374, 300.254959, 5095.463811, 134.277919, 8842.524942
254.634352, 539.974409, 0.000000, 0.008492, 3.905374, 300.254959, 5095.463811, 134.277919, 9080.170932
261.248231, 269.987204, 0.009562, 0.016501, 0.884882, 400.730922, 5363.600884, 162.329334, 4591.834093
261.248231, 284.197057, 0.008654, 0.015575, 1.007473, 391.192984, 5363.600884, 159.085252, 4826.364884
261.248231, 298.406910, 0.007768, 0.014710, 1.140511, 381.874919, 5363.600884, 156.054077, 5061.100123
261.248231, 312.616763, 0.006903, 0.013901, 1.285835, 372.785469, 5363.600884, 153.220646, 5296.025249
261.248231, 326.826616, 0.006060, 0.013144, 1.445672, 363.930387, 5363.600884, 150.570748, 5531.126618
261.248231, 341.036469, 0.005240, 0.012436, 1.622763, 355.312946, 5363.600884, 148.091125, 5766.391497
261.248231, 355.246322, 0.004442, 0.011773, 1.820515, 346.934387, 5363.600884, 145.769445, 6001.808043
261.248231, 369.456174, 0.003668, 0.011152, 2.043236, 338.794282, 5363.600884, 143.594266, 6237.365272
261.248231, 383.666027, 0.002916, 0.010570, 2.296458, 330.890856, 5363.600884, 141.554997, 6473.053010
261.248231, 397.875880, 0.002186, 0.010024, 2.587407, 323.221251, 5363.600884, 139.641842, 6708.861852
261.248231, 412.085733, 0.001478, 0.009511, 2.925723, 315.781744, 5363.600884, 137.845754, 6944.783110
261.248231, 426.295586, 0.000791, 0.009029, 3.324564, 308.567937, 5363.600884, 136.158381, 7180.808763
261.248231, 440.505439, 0.000126, 0.008576, 3.802379, 301.574912, 5363.600884, 134.572017, 7416.931414
261.248231, 454.715292, 0.000000, 0.008492, 3.905374, 300.254959, 5363.600884, 134.277919, 7654.294990
261.248231, 468.925144, 0.000000, 0.008492, 3.905374, 300.254959, 5363.600884, 134.277919, 7891.940981
261.248231, 483.134997, 0.000000, 0.008492, 3.905374, 300.254959, 5363.600884, 134.277919, 8129.586971
261.248231, 497.344850, 0.000000, 0.008492, 3.905374, 300.254959, 5363.600884, 134.277919, 8367.232961
261.248231, 511.554703, 0.000000, 0.008492, 3.905374, 300.254959, 5363.600884, 134.277919, 8604.878952
261.248231, 525.764556, 0.000000, 0.008492, 3.905374, 300.254959, 5363.600884, 134.277919, 8842.524942
261.248231, 539.974409, 0.000000, 0.008492, 3.905374, 300.254959, 5363.600884, 134.277919, 9080.170932
267.862110, 269.987204, 0.010000, 0.016963, 0.829905, 405.331060, 5638.613267, 163.948051, 4593.388501
267.862110, 284.197057, 0.009657, 0.016600, 0.872758, 401.727584, 5638.613267, 162.676977, 4829.813915
267.862110, 298.406910, 0.008791, 0.015712, 0.988157, 392.632579, 5638.613267, 159.565495, 5064.472037
267.862110, 312.616763, 0.007945, 0.014879, 1.112777, 383.734528, 5638.613267, 156.648533, 5299.316952
267.862110, 326.826616, 0.007117, 0.014098, 1.248148, 375.041493, 5638.613267, 153.912941, 5534.336031
267.862110, 341.036469, 0.006310, 0.013365, 1.396102, 366.558997, 5638.613267, 151.346343, 5769.517390
267.862110, 355.246322, 0.005523, 0.012678, 1.558862, 358.290437, 5638.613267, 148.937136, 6004.849887
267.862110, 369.456174, 0.004757, 0.012032, 1.739153, 350.237446, 5638.613267, 146.674480, 6240.323113
267.862110, 383.666027, 0.004011, 0.011425, 1.940365, 342.400191, 5638.613267, 144.548273, 6475.927367
